org,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,,,,,,0.73 (0%),,,,0.72 (0%),0.79 (0%),,,
ASUS,0.74 (1%),,,,0.74 (0%),,0.76 (0%),0.74 (0%),2.15 (1%),2.87 (1%),1.58 (0%),1.64 (1%),,
BMW,,1.52 (1%),2.15 (1%),1.41 (1%),,,4.55 (2%),0.74 (0%),1.44 (1%),,,0.82 (0%),,0.76 (0%)
BOE,,5.31 (2%),7.90 (2%),,7.44 (3%),5.12 (2%),,,,10.05 (4%),15.77 (5%),,7.39 (4%),6.07 (2%)
CSOT,,,5.02 (1%),2.82 (1%),3.72 (1%),2.92 (1%),,,,5.02 (2%),8.67 (3%),,4.10 (2%),4.55 (2%)
IoT,,3.79 (1%),7.90 (2%),,,5.12 (2%),12.90 (5%),,5.02 (3%),,3.94 (1%),4.10 (2%),4.93 (3%),
LG디스플레이,,,32.30 (8%),,25.31 (9%),23.39 (11%),28.07 (11%),,17.95 (9%),,48.10 (14%),,38.59 (20%),20.48 (7%)
LG전자,20.10 (14%),,30.15 (8%),,20.10 (7%),,31.86 (13%),,25.12 (13%),,27.60 (8%),19.70 (11%),18.06 (9%),
LG화학,1.49 (1%),3.03 (1%),5.02 (1%),2.82 (1%),2.23 (1%),1.46 (1%),3.03 (1%),,,,,1.64 (1%),,
SK하이닉스,,11.38 (4%),26.56 (7%),19.75 (8%),14.14 (5%),,18.20 (7%),,14.36 (7%),,,12.31 (7%),,14.41 (5%)
Semiconductor,,,1.44 (0%),1.41 (1%),,0.73 (0%),1.52 (1%),1.49 (1%),,0.72 (0%),,2.46 (1%),,
TCL,,,4.31 (1%),2.82 (1%),4.47 (2%),4.39 (2%),,,,7.18 (3%),9.46 (3%),,4.10 (2%),3.79 (1%)
TSMC,3.72 (3%),,3.59 (1%),11.28 (5%),,,3.03 (1%),3.72 (2%),5.74 (3%),,,4.93 (3%),2.46 (1%),
Tianma,,,4.31 (1%),1.41 (1%),1.49 (1%),1.46 (1%),1.52 (1%),,,2.87 (1%),3.15 (1%),,,1.52 (1%)
Visionox,,3.03 (1%),6.46 (2%),3.53 (1%),2.98 (1%),2.92 (1%),,,,7.18 (3%),6.31 (2%),,,3.79 (1%)
구글,,16.69 (6%),12.20 (3%),7.05 (3%),10.42 (4%),7.31 (3%),10.62 (4%),8.93 (6%),7.90 (4%),,,,,
