term,cur,prev,diff,ma7,z_like,total
ar,10,0,10,1.714,3.588,14
현대모비스,7,0,7,1.0,3.0,8
라온텍,6,0,6,0.857,2.67,6
모듈,6,0,6,0.857,2.67,6
광학,6,0,6,0.857,2.67,8
이규석,5,0,5,0.714,2.323,5
개시,4,0,4,0.571,1.953,4
나라장터,4,0,4,0.571,1.953,4
상생세일,4,0,4,0.571,1.953,4
영업익,4,0,4,0.571,1.953,4
참가,4,0,4,0.571,1.953,4
포유디지탈,4,0,4,0.571,1.953,4
퀄컴,4,0,4,0.714,1.781,7
고성능,4,0,4,0.857,1.632,7
메타,4,0,4,0.857,1.632,7
내년,6,0,6,2.143,1.565,17
협업,3,0,3,0.429,1.554,3
차량용,3,0,3,0.429,1.554,4
태블릿,3,0,3,0.429,1.554,4
방문,3,0,3,0.429,1.554,9
한화,4,0,4,1.0,1.5,7
애플,3,0,3,0.571,1.383,6
개선,5,1,4,1.857,1.33,13
