term,cur,prev,diff,total,ma7,z_like
모니터,14,3,11,99,6.571,2.085
dell,3,0,3,4,0.429,1.554
벤큐,3,0,3,8,0.429,1.554
ppi,2,0,2,3,0.286,1.117
화웨이,2,0,2,3,0.286,1.117
폴더블,3,2,1,50,0.857,1.113
카카오,2,1,1,44,0.429,0.95
nvidia,2,0,2,7,0.571,0.814
asus,2,1,1,11,0.714,0.697
ul,1,0,1,6,0.143,0.622
한화솔루션,1,0,1,12,0.143,0.622
고성능,2,1,1,15,0.857,0.593
sharp,1,0,1,9,0.286,0.465
하이센스,1,0,1,11,0.286,0.465
샤오미,1,0,1,6,0.429,0.345
맥북,1,0,1,24,0.714,0.155
퀄컴,1,1,0,14,0.857,0.074
boe,1,1,0,43,1.286,-0.134
xr,2,2,0,73,3.0,-0.366
hp,2,2,0,50,3.286,-0.457
노트북,3,2,1,101,5.0,-0.618
