term,cur,prev,diff,ma7,z_like,total
요가,6,0,6,0.857,2.67,6
한미반도체,3,0,3,0.429,1.554,25
레노버,5,1,4,2.0,1.243,20
etri,2,0,2,0.286,1.117,2
픽셀,2,0,2,0.286,1.117,3
galaxy,2,1,1,0.429,0.95,4
dell,3,0,3,0.429,1.554,4
벤큐,3,0,3,0.429,1.554,8
ppi,2,0,2,0.286,1.117,3
화웨이,2,0,2,0.286,1.117,3
샤오미,18,1,17,3.0,5.49,24
화웨이,4,0,4,0.857,1.632,7
퀄컴,15,3,12,3.143,4.276,32
픽셀,3,0,3,0.714,1.239,6
스트레처블,16,0,16,2.286,5.46,16
레노버,20,0,20,3.857,5.446,40
kaist,15,0,15,2.143,5.218,24
맥북,9,0,9,1.857,3.023,35
벤큐,5,0,5,1.143,1.864,13
amd,5,1,4,1.143,1.864,18
한화시스템,2,0,2,0.286,1.117,7
하이센스,3,0,3,0.857,1.113,7
tsmc,2,0,2,0.429,0.95,12
메타,2,0,2,0.429,0.95,18
아이패드,2,1,1,0.429,0.95,11
잉크젯,10,0,10,1.571,3.74,11
고해상도,9,0,9,1.286,3.615,9
롤러블,4,0,4,0.571,1.953,4
ar,3,1,2,0.714,1.239,37
기아,2,0,2,0.286,1.117,9
소니,2,0,2,0.286,1.117,12
고성능,3,0,3,0.857,1.113,16
vr,2,0,2,0.429,0.95,18
