term,cur,prev,diff,ma7,z_like,total
관세,10,0,10,1.571,3.74,13
국정자원,8,0,8,1.143,3.314,8
분야,7,0,7,1.0,3.0,7
지볶행,7,0,7,1.0,3.0,7
화재,7,0,7,1.0,3.0,7
10기,6,0,6,0.857,2.67,6
개수,6,0,6,0.857,2.67,6
전산망,6,0,6,0.857,2.67,6
tgs,6,1,5,1.0,2.5,7
검토,6,1,5,1.0,2.5,8
28일,5,0,5,0.714,2.323,5
과학자,5,0,5,0.714,2.323,5
기술자,5,0,5,0.714,2.323,5
김정은,5,0,5,0.714,2.323,5
만난,5,0,5,0.714,2.323,6
부과,5,0,5,0.714,2.323,5
영식,5,0,5,0.714,2.323,5
우승,5,0,5,0.714,2.323,5
운세,5,0,5,0.714,2.323,14
전자제품,5,0,5,0.714,2.323,6
한화,5,0,5,0.714,2.323,5
배터리,5,0,5,0.857,2.151,6
1위,4,0,4,0.571,1.953,8
결승,4,0,4,0.571,1.953,4
경기,4,0,4,0.571,1.953,5
국가,4,0,4,0.571,1.953,4
마비,4,0,4,0.571,1.953,4
백합,4,0,4,0.571,1.953,4
부산시,4,0,4,0.571,1.953,4
오늘의,4,0,4,0.571,1.953,11
일본,4,0,4,0.571,1.953,7
탈락,4,0,4,0.571,1.953,4
화재로,4,0,4,0.571,1.953,4
미국,4,1,3,0.714,1.781,9
최초,5,3,2,1.286,1.741,11
중국,4,1,3,0.857,1.632,10
27일,3,0,3,0.429,1.554,3
re,3,0,3,0.429,1.554,3
가을,3,0,3,0.429,1.554,7
국무위원장,3,0,3,0.429,1.554,3
기부,3,0,3,0.429,1.554,3
기준으로,3,0,3,0.429,1.554,3
난항,3,0,3,0.429,1.554,3
노트북,3,0,3,0.429,1.554,3
미소,3,0,3,0.429,1.554,3
민원,3,0,3,0.429,1.554,3
비상,3,0,3,0.429,1.554,3
안세영,3,0,3,0.429,1.554,3
양로원,3,0,3,0.429,1.554,3
일부,3,0,3,0.429,1.554,4
중단,3,0,3,0.429,1.554,7
코리아오픈,3,0,3,0.429,1.554,3
