org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
AMD,37.74 (1%),33.85 (1%),69.31 (1%),54.76 (1%),78.33 (1%),20.80 (1%),31.55 (1%),16.79 (1%)
ASUS,2.80 (0%),12.51 (0%),39.51 (1%),24.26 (0%),36.74 (1%),28.80 (1%),10.75 (0%),6.10 (0%)
AUO,0.70 (0%),0.74 (0%),0.69 (0%),1.39 (0%),,,0.72 (0%),0.76 (0%)
Acer,1.40 (0%),8.83 (0%),28.42 (1%),15.25 (0%),31.19 (0%),18.40 (1%),9.32 (0%),1.53 (0%)
BMW,13.98 (1%),4.42 (0%),30.50 (1%),15.25 (0%),29.11 (0%),7.20 (0%),12.91 (0%),4.58 (0%)
BOE,69.89 (3%),59.61 (2%),219.03 (4%),362.52 (7%),299.44 (4%),127.19 (6%),68.83 (2%),46.54 (2%)
BYD,11.18 (0%),5.89 (0%),31.88 (1%),40.90 (1%),42.98 (1%),7.20 (0%),15.77 (1%),7.63 (0%)
Bosch,0.70 (0%),0.74 (0%),0.69 (0%),0.69 (0%),0.69 (0%),,,1.53 (0%)
CES,13.98 (1%),10.30 (0%),125.46 (2%),38.12 (1%),113.68 (2%),28.00 (1%),166.33 (6%),9.16 (0%)
CSOT,32.85 (1%),25.76 (1%),124.77 (2%),196.85 (4%),168.43 (2%),77.59 (4%),30.83 (1%),31.28 (1%)
Corning,0.70 (0%),0.74 (0%),3.47 (0%),1.39 (0%),2.77 (0%),,1.43 (0%),0.76 (0%)
Counterpoint,2.80 (0%),4.42 (0%),3.47 (0%),4.85 (0%),4.16 (0%),0.80 (0%),1.43 (0%),
Dell,3.49 (0%),11.04 (0%),30.50 (1%),22.87 (0%),35.35 (1%),20.80 (1%),9.32 (0%),2.29 (0%)
ETRI,2.10 (0%),,31.19 (1%),11.09 (0%),32.58 (0%),7.20 (0%),15.06 (1%),3.05 (0%)
HMI,,0.74 (0%),1.39 (0%),1.39 (0%),2.77 (0%),,0.72 (0%),0.76 (0%)
