term,cur,prev,diff,ma7,z_like,total
lcd,4,0,4,0.857,1.632,38
태블릿,4,2,2,1.0,1.5,26
4k,3,1,2,0.714,1.239,8
etri,4,0,4,0.714,1.781,11
필립스,3,0,3,0.571,1.383,8
tsmc,2,0,2,0.286,1.117,11
amd,2,0,2,0.286,1.117,21
asus,2,0,2,0.286,1.117,25
qled,2,1,1,0.429,0.95,9
tsmc,3,0,3,0.714,1.239,9
kaist,6,0,6,1.0,2.5,20
메타,5,0,5,1.0,2.0,28
화웨이,4,1,3,1.0,1.5,19
hp,3,0,3,0.571,1.383,12
딥엑스,5,0,5,0.714,2.323,6
아마존,6,2,4,1.429,2.082,22
hp,5,3,2,1.143,1.864,17
서피스,2,0,2,0.286,1.117,2
벤큐,2,0,2,0.429,0.95,10
벤츠,2,0,2,0.429,0.95,24
amd,4,0,4,0.857,1.632,23
소니,3,0,3,0.429,1.554,37
아이패드,2,0,2,0.286,1.117,5
