term,cur,prev,diff,ma7,z_like,total
삼성전자,24,20,4,13.429,2.266,432
모니터,14,3,11,6.571,2.085,99
dell,3,0,3,0.429,1.554,4
벤큐,3,0,3,0.429,1.554,8
ppi,2,0,2,0.286,1.117,3
화웨이,2,0,2,0.286,1.117,3
폴더블,3,2,1,0.857,1.113,50
구글,5,5,0,2.429,1.005,61
카카오,2,1,1,0.429,0.95,44
nvidia,2,0,2,0.571,0.814,7
스마트폰,6,6,0,3.714,0.781,73
asus,2,1,1,0.714,0.697,11
ul,1,0,1,0.143,0.622,6
한화솔루션,1,0,1,0.143,0.622,12
고성능,2,1,1,0.857,0.593,15
sharp,1,0,1,0.286,0.465,9
하이센스,1,0,1,0.286,0.465,11
샤오미,1,0,1,0.429,0.345,6
애플,6,6,0,5.0,0.309,173
lg디스플레이,7,27,-20,6.143,0.246,133
한미반도체,1,3,-2,0.571,0.244,26
맥북,1,0,1,0.714,0.155,24
퀄컴,1,1,0,0.857,0.074,14
lcd,1,2,-1,1.0,0.0,62
boe,1,1,0,1.286,-0.134,43
디스플레이,10,14,-4,11.0,-0.232,255
아이폰,1,2,-1,1.714,-0.309,58
xr,2,2,0,3.0,-0.366,73
레노버,1,5,-4,2.0,-0.414,21
hp,2,2,0,3.286,-0.457,50
모바일,1,2,-1,2.143,-0.464,35
tv,10,20,-10,12.571,-0.566,314
노트북,3,2,1,5.0,-0.618,101
갤럭시,14,34,-20,17.857,-0.738,185
선익시스템,1,8,-7,3.286,-0.813,51
lg전자,5,5,0,9.143,-1.03,259
oled,10,45,-35,16.143,-1.224,288
엔비디아,3,9,-6,9.143,-1.527,108
