org,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,8.08 (3%),,2.87 (1%),,2.37 (1%),3.73 (1%),,,2.47 (2%),,,3.10 (1%),2.87 (1%),5.85 (2%)
BOE,21.80 (7%),13.17 (3%),15.81 (4%),,13.45 (5%),,,15.81 (4%),,,11.93 (5%),9.30 (4%),,8.78 (3%)
CSOT,4.85 (2%),5.12 (1%),7.18 (2%),,5.54 (2%),2.98 (1%),,7.18 (2%),,,4.47 (2%),2.33 (1%),,
IoT,,13.17 (3%),,,3.16 (1%),9.70 (3%),7.90 (3%),10.78 (3%),,,3.73 (1%),,12.21 (4%),11.71 (4%)
JDI,2.42 (1%),3.66 (1%),2.16 (1%),,1.58 (1%),,2.16 (1%),3.59 (1%),,,1.49 (1%),,2.16 (1%),
LG디스플레이,51.68 (17%),30.74 (8%),59.63 (17%),,36.39 (12%),25.36 (8%),,38.80 (9%),,,30.58 (12%),22.49 (9%),,
LG전자,,34.40 (8%),35.20 (10%),,38.77 (13%),42.51 (14%),56.76 (24%),38.08 (9%),35.46 (22%),,,,,32.93 (11%)
LG화학,,10.25 (3%),23.71 (7%),6.47 (5%),,14.92 (5%),7.18 (3%),13.65 (3%),,,,,7.90 (2%),8.78 (3%)
SK하이닉스,,34.40 (8%),,,,12.68 (4%),,29.46 (7%),9.07 (6%),,8.95 (3%),11.63 (4%),28.74 (9%),16.83 (6%)
TCL,3.23 (1%),,3.59 (1%),,10.28 (4%),2.98 (1%),2.87 (1%),,,,8.95 (3%),3.88 (1%),,3.66 (1%)
V2X,,6.59 (2%),,0.92 (1%),,2.24 (1%),2.16 (1%),4.31 (1%),,,,1.55 (1%),6.47 (2%),2.20 (1%)
구글,11.31 (4%),14.64 (4%),,,,20.14 (6%),,15.81 (4%),,,10.44 (4%),13.96 (5%),15.09 (5%),21.96 (7%)
기아,,12.44 (3%),,,,6.71 (2%),,11.50 (3%),3.30 (2%),,5.97 (2%),4.65 (2%),12.93 (4%),6.59 (2%)
네이버,,6.59 (2%),,,,5.22 (2%),2.16 (1%),6.47 (2%),,1.94 (1%),,2.33 (1%),8.62 (3%),5.85 (2%)
두산로보틱스,,,20.84 (6%),4.62 (4%),,8.95 (3%),4.31 (2%),2.87 (1%),3.30 (2%),,,0.78 (0%),,1.46 (0%)
디지타임스,6.46 (2%),4.39 (1%),,,2.37 (1%),2.24 (1%),,5.03 (1%),,,2.98 (1%),1.55 (1%),,1.46 (0%)
마이크로소프트,0.81 (0%),,,,,,,,,,,,,
메타,,1.46 (0%),,,,2.98 (1%),2.16 (1%),2.16 (1%),1.65 (1%),,2.24 (1%),,1.44 (0%),2.93 (1%)
