date,topic_id,avg_sentiment,article_count,semantic_key
2025-10-06,0,0.71,25,OLED_Topic
2025-10-06,1,0.62,18,Automotive_Topic
2025-10-07,2,0.69,31,OLED_Topic
2025-10-07,0,0.65,22,Automotive_Topic
2025-10-08,1,0.73,28,OLED_Topic
2025-10-08,3,0.59,15,Automotive_Topic
2025-10-08,2,0.45,11,Uncategorized
2025-10-09,0,0.68,35,OLED_Topic
2025-10-09,2,0.66,24,Automotive_Topic
2025-10-10,3,0.75,29,OLED_Topic
2025-10-10,1,0.68,19,Automotive_Topic
2025-10-11,1,0.72,33,OLED_Topic
2025-10-11,0,0.61,21,Automotive_Topic
2025-10-12,0,0.7,26,OLED_Topic
2025-10-12,2,0.67,25,Automotive_Topic
2025-10-13,2,0.68,30,OLED_Topic
2025-10-13,1,0.64,17,Automotive_Topic
2025-10-14,1,0.45,41,OLED_Topic
2025-10-14,0,0.65,20,Automotive_Topic
2025-10-14,3,0.51,9,Uncategorized
2025-10-15,0,0.38,55,OLED_Topic
2025-10-15,2,0.66,23,Automotive_Topic
2025-10-16,3,0.35,62,OLED_Topic
2025-10-16,1,0.63,16,Automotive_Topic
2025-10-17,0,0.31,58,OLED_Topic
2025-10-17,2,0.68,26,Automotive_Topic
2025-10-18,2,0.33,49,OLED_Topic
2025-10-18,0,0.65,21,Automotive_Topic
2025-10-19,1,0.29,68,OLED_Topic
2025-10-19,3,0.67,24,Automotive_Topic
