org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
AMD,,1.43 (0%),4.46 (1%),1.37 (0%),4.28 (1%),3.42 (1%),,0.71 (0%)
ASUS,,1.43 (0%),,1.37 (0%),2.85 (0%),4.10 (1%),1.02 (1%),2.14 (0%)
BMW,,0.71 (0%),0.74 (0%),2.05 (0%),0.71 (0%),1.37 (0%),,
BOE,1.92 (1%),4.99 (1%),2.23 (0%),15.04 (2%),37.05 (5%),22.57 (4%),1.02 (1%),20.66 (3%)
CES,8.62 (3%),4.28 (1%),,8.21 (1%),4.28 (1%),2.05 (0%),3.05 (4%),8.55 (1%)
CSOT,1.92 (1%),2.85 (1%),4.46 (1%),13.68 (2%),26.36 (4%),12.99 (2%),,17.10 (3%)
HP,,3.56 (1%),0.74 (0%),2.74 (0%),4.28 (1%),1.37 (0%),,3.56 (1%)
Harman,1.92 (1%),1.43 (0%),0.74 (0%),0.68 (0%),1.43 (0%),3.42 (1%),2.04 (2%),0.71 (0%)
IoT,21.07 (8%),17.10 (4%),11.90 (3%),18.46 (2%),7.13 (1%),8.21 (1%),3.05 (4%),7.13 (1%)
LG디스플레이,44.06 (17%),35.63 (7%),19.34 (4%),57.44 (7%),66.98 (9%),48.55 (9%),13.23 (15%),57.72 (9%)
LG전자,33.52 (13%),42.04 (9%),32.73 (7%),45.82 (6%),40.62 (6%),27.35 (5%),3.05 (4%),32.78 (5%)
LG화학,4.79 (2%),3.56 (1%),4.46 (1%),6.84 (1%),3.56 (0%),4.10 (1%),,4.28 (1%)
SID,8.62 (3%),4.28 (1%),,8.21 (1%),4.28 (1%),2.05 (0%),3.05 (4%),8.55 (1%)
SK하이닉스,33.52 (13%),39.90 (8%),48.35 (10%),58.81 (8%),29.93 (4%),18.46 (3%),3.05 (4%),28.50 (4%)
Semiconductor,,2.14 (0%),0.74 (0%),2.05 (0%),,0.68 (0%),,
TCL,0.96 (0%),1.43 (0%),1.49 (0%),3.42 (0%),8.55 (1%),6.15 (1%),,4.99 (1%)
TSMC,,4.28 (1%),2.98 (1%),5.47 (1%),5.70 (1%),3.42 (1%),1.02 (1%),4.28 (1%)
Tianma,,0.71 (0%),4.46 (1%),6.15 (1%),6.41 (1%),4.10 (1%),,5.70 (1%)
V2X,1.92 (1%),6.41 (1%),7.44 (2%),8.89 (1%),2.14 (0%),1.37 (0%),,2.85 (0%)
Visionox,,1.43 (0%),9.67 (2%),13.68 (2%),17.10 (2%),11.63 (2%),,14.25 (2%)
구글,3.16 (1%),18.01 (3%),17.17 (3%),20.29 (2%),11.74 (1%),15.78 (3%),4.47 (5%),10.96 (2%)
기아,7.66 (3%),24.23 (5%),30.50 (7%),34.19 (4%),20.66 (3%),10.26 (2%),2.04 (2%),17.10 (3%)
네이버,3.83 (1%),14.25 (3%),14.13 (3%),17.78 (2%),11.40 (2%),6.15 (1%),2.04 (2%),16.39 (3%)
마이크로소프트,0.96 (0%),2.14 (0%),2.23 (0%),4.10 (1%),2.14 (0%),2.05 (0%),,1.43 (0%)
메타,,4.99 (1%),7.44 (2%),5.47 (1%),4.99 (1%),6.15 (1%),,2.14 (0%)
미디어텍,3.83 (1%),4.99 (1%),7.44 (2%),6.84 (1%),3.56 (0%),4.79 (1%),2.04 (2%),2.14 (0%)
벤츠,0.96 (0%),3.56 (1%),0.74 (0%),1.37 (0%),2.14 (0%),0.68 (0%),1.02 (1%),0.71 (0%)
비보,,0.71 (0%),,4.10 (1%),9.26 (1%),16.41 (3%),,7.13 (1%)
삼성디스플레이,15.15 (3%),52.12 (5%),17.65 (2%),120.32 (8%),139.47 (10%),81.12 (7%),4.02 (2%),193.00 (15%)
삼성전자,19.16 (7%),59.14 (12%),63.23 (14%),103.94 (13%),109.02 (15%),75.91 (13%),11.19 (13%),91.21 (14%)
샤오미,2.14 (1%),2.39 (0%),0.83 (0%),7.65 (1%),15.95 (2%),29.84 (5%),2.28 (2%),11.96 (2%)
선익시스템,,1.43 (0%),0.74 (0%),4.10 (1%),7.84 (1%),3.42 (1%),,6.41 (1%)
소니,,2.14 (0%),1.49 (0%),2.74 (0%),,2.74 (0%),,1.43 (0%)
아마존,3.83 (1%),3.56 (1%),5.95 (1%),4.79 (1%),4.28 (1%),7.52 (1%),5.09 (6%),2.14 (0%)
아이씨디,,1.43 (0%),2.98 (1%),6.15 (1%),4.99 (1%),2.74 (0%),,5.70 (1%)
알파벳,,1.43 (0%),4.46 (1%),1.37 (0%),4.28 (1%),3.42 (1%),,
애플,5.33 (2%),23.01 (4%),18.23 (4%),50.26 (6%),80.14 (10%),86.81 (14%),9.07 (10%),51.58 (7%)
엔비디아,1.09 (0%),5.70 (1%),4.25 (1%),7.82 (1%),9.77 (1%),4.69 (1%),1.16 (1%),5.70 (1%)
