org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,11.09 (1%),19.41 (5%),,,25.65 (2%),24.02 (3%),12.18 (1%),9.76 (3%),28.73 (2%),80.88 (23%)
AUO,30.50 (2%),4.85 (1%),,1.62 (0%),24.26 (2%),12.01 (1%),16.48 (1%),5.26 (1%),11.91 (1%),
BMW,6.93 (0%),8.09 (2%),1.98 (1%),3.24 (1%),11.78 (1%),3.75 (0%),2.15 (0%),,4.20 (0%),
BOE,90.11 (6%),15.37 (4%),,13.75 (3%),77.63 (5%),75.08 (8%),88.87 (7%),20.27 (6%),67.98 (5%),
BYD,9.01 (1%),6.47 (2%),,4.85 (1%),12.48 (1%),9.01 (1%),7.88 (1%),2.25 (1%),2.80 (0%),
CES,2.08 (0%),0.81 (0%),,,2.08 (0%),1.50 (0%),,,0.70 (0%),1.26 (0%)
CSOT,48.52 (3%),6.47 (2%),,10.51 (3%),38.12 (3%),37.54 (4%),51.60 (4%),8.26 (2%),39.95 (3%),
ETRI,0.69 (0%),,,,0.69 (0%),,0.72 (0%),,,
IEC,4.16 (0%),,,0.81 (0%),7.62 (1%),,0.72 (0%),2.25 (1%),2.80 (0%),
IEEE,3.47 (0%),,,3.24 (1%),4.85 (0%),2.25 (0%),2.87 (0%),2.25 (1%),2.80 (0%),
ITU,4.16 (0%),,,0.81 (0%),7.62 (1%),,0.72 (0%),2.25 (1%),2.80 (0%),
Innolux,32.58 (2%),10.51 (3%),,9.71 (2%),29.11 (2%),15.02 (2%),16.48 (1%),4.50 (1%),12.61 (1%),
IoT,17.33 (1%),11.32 (3%),,8.90 (2%),19.41 (1%),10.51 (1%),8.60 (1%),4.50 (1%),7.71 (1%),
JDI,11.78 (1%),2.43 (1%),,1.62 (0%),11.78 (1%),6.01 (1%),12.90 (1%),1.50 (0%),11.91 (1%),
KAIST,4.16 (0%),,,0.81 (0%),7.62 (1%),,0.72 (0%),2.25 (1%),2.80 (0%),
LG디스플레이,140.71 (10%),12.94 (3%),,21.03 (5%),111.60 (7%),75.08 (8%),144.77 (11%),17.27 (5%),119.84 (9%),
