org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
LG전자,72.78 (5%),37.21 (10%),,84.12 (20%),72.78 (5%),46.55 (5%),51.60 (4%),,70.78 (6%),83.40 (24%)
LG화학,13.86 (1%),0.81 (0%),,3.24 (1%),18.71 (1%),6.01 (1%),4.30 (0%),0.75 (0%),5.61 (0%),
SID,6.24 (0%),0.81 (0%),,,5.55 (0%),3.00 (0%),3.58 (0%),,2.10 (0%),1.26 (0%)
SK하이닉스,22.18 (2%),4.85 (1%),,7.28 (2%),32.58 (2%),18.77 (2%),15.77 (1%),8.26 (2%),38.54 (3%),
Semiconductor,9.70 (1%),,,2.43 (1%),10.40 (1%),3.75 (0%),3.58 (0%),1.50 (0%),2.10 (0%),
TCL,47.13 (3%),,3.96 (1%),21.03 (5%),32.58 (2%),27.03 (3%),43.00 (3%),9.01 (2%),28.73 (2%),
TSMC,10.40 (1%),4.04 (1%),,2.43 (1%),17.33 (1%),15.02 (2%),7.88 (1%),2.25 (1%),10.51 (1%),
Tianma,32.58 (2%),5.66 (2%),4.95 (2%),,21.49 (1%),18.02 (2%),27.23 (2%),4.50 (1%),16.82 (1%),
Toray,4.16 (0%),1.62 (0%),0.99 (0%),,2.08 (0%),,0.72 (0%),,0.70 (0%),
UDC,3.47 (0%),,,0.81 (0%),2.08 (0%),,2.15 (0%),0.75 (0%),0.70 (0%),
Visionox,22.18 (2%),,,,18.02 (1%),8.26 (1%),25.80 (2%),1.50 (0%),13.32 (1%),
구글,25.65 (2%),9.71 (3%),,,30.50 (2%),12.01 (1%),22.22 (2%),10.51 (3%),23.13 (2%),2.53 (1%)
기아,20.10 (1%),4.85 (1%),,8.90 (2%),24.95 (2%),13.51 (1%),12.18 (1%),3.75 (1%),14.72 (1%),
기아자동차,5.55 (0%),7.28 (2%),2.97 (1%),4.04 (1%),9.01 (1%),6.01 (1%),4.30 (0%),,3.50 (0%),
네이버,,4.85 (1%),0.99 (0%),0.81 (0%),2.08 (0%),6.01 (1%),2.87 (0%),,7.01 (1%),10.11 (3%)
디지타임스,5.55 (0%),1.62 (0%),,,4.85 (0%),3.75 (0%),7.88 (1%),1.50 (0%),2.80 (0%),
레노버,0.69 (0%),0.81 (0%),0.99 (0%),,,0.75 (0%),0.72 (0%),,0.70 (0%),
리오토,0.69 (0%),3.24 (1%),,,2.77 (0%),3.00 (0%),1.43 (0%),,,
마이크로소프트,15.25 (1%),6.47 (2%),15.85 (6%),,26.34 (2%),21.02 (2%),11.47 (1%),7.51 (2%),21.73 (2%),
메타,40.20 (3%),6.47 (2%),,4.85 (1%),41.59 (3%),21.02 (2%),29.38 (2%),14.26 (4%),24.53 (2%),
미디어텍,4.16 (0%),2.43 (1%),0.99 (0%),,7.62 (1%),5.26 (1%),2.87 (0%),2.25 (1%),2.80 (0%),
벤츠,4.16 (0%),6.47 (2%),1.98 (1%),1.62 (0%),6.24 (0%),2.25 (0%),1.43 (0%),,2.80 (0%),
비보,11.09 (1%),,,,8.32 (1%),3.00 (0%),22.22 (2%),2.25 (1%),8.41 (1%),
삼성디스플레이,93.57 (7%),16.99 (5%),10.89 (4%),,89.42 (6%),46.55 (5%),83.85 (7%),19.52 (5%),89.70 (7%),
삼성전자,144.87 (10%),45.29 (12%),,46.91 (11%),171.21 (11%),114.12 (12%),144.05 (11%),,215.15 (17%),93.51 (27%)
샤오미,53.37 (4%),5.66 (2%),,9.71 (2%),47.83 (3%),24.78 (3%),68.08 (5%),15.02 (4%),37.14 (3%),
샤오펑,4.85 (0%),4.04 (1%),,2.43 (1%),6.93 (0%),5.26 (1%),4.30 (0%),0.75 (0%),1.40 (0%),
샤프,13.17 (1%),0.81 (0%),,,6.93 (0%),6.76 (1%),12.90 (1%),1.50 (0%),9.81 (1%),
선익시스템,6.24 (0%),0.81 (0%),,0.81 (0%),6.93 (0%),1.50 (0%),1.43 (0%),0.75 (0%),6.31 (0%),
소니,11.09 (1%),3.24 (1%),,3.24 (1%),11.09 (1%),6.76 (1%),7.17 (1%),1.50 (0%),3.50 (0%),
아마존,5.55 (0%),4.04 (1%),,4.85 (1%),13.86 (1%),15.02 (2%),9.32 (1%),5.26 (1%),14.02 (1%),
아이씨디,2.77 (0%),,,0.81 (0%),2.77 (0%),,,,0.70 (0%),
알파벳,7.62 (1%),2.43 (1%),,2.43 (1%),13.86 (1%),17.27 (2%),9.32 (1%),4.50 (1%),14.72 (1%),
애플,104.67 (7%),17.79 (5%),,11.32 (3%),96.35 (6%),57.06 (6%),131.87 (10%),30.78 (8%),87.60 (7%),
엔비디아,16.64 (1%),8.09 (2%),,6.47 (2%),43.67 (3%),36.79 (4%),17.20 (1%),13.51 (4%),41.35 (3%),
오포,15.25 (1%),,,,11.09 (1%),4.50 (0%),31.53 (2%),3.00 (1%),12.61 (1%),
원익IPS,12.48 (1%),1.62 (0%),,1.62 (0%),13.86 (1%),3.00 (0%),3.58 (0%),1.50 (0%),9.11 (1%),
인텔,4.85 (0%),,,,8.32 (1%),4.50 (0%),2.87 (0%),1.50 (0%),4.20 (0%),
카카오,6.93 (0%),15.37 (4%),4.95 (2%),,8.32 (1%),6.76 (1%),3.58 (0%),,10.51 (1%),27.80 (8%)
퀄컴,6.24 (0%),3.24 (1%),,8.09 (2%),11.78 (1%),9.76 (1%),5.02 (0%),7.51 (2%),5.61 (0%),
폭스바겐,2.08 (0%),1.62 (0%),,4.85 (1%),1.39 (0%),,1.43 (0%),1.50 (0%),1.40 (0%),
하이센스,35.35 (2%),3.24 (1%),,18.60 (4%),22.18 (1%),18.77 (2%),29.38 (2%),5.26 (1%),23.13 (2%),
한미반도체,3.47 (0%),,,0.81 (0%),5.55 (0%),1.50 (0%),,0.75 (0%),2.10 (0%),
한화,18.02 (1%),8.90 (2%),62.40 (23%),8.09 (2%),26.34 (2%),17.27 (2%),,8.26 (2%),16.12 (1%),
한화솔루션,4.85 (0%),,0.99 (0%),0.81 (0%),5.55 (0%),2.25 (0%),1.43 (0%),,4.20 (0%),
한화시스템,12.48 (1%),8.09 (2%),65.37 (24%),,15.25 (1%),1.50 (0%),,6.01 (2%),6.31 (0%),7.58 (2%)
현대모비스,4.16 (0%),0.81 (0%),,8.09 (2%),5.55 (0%),2.25 (0%),1.43 (0%),1.50 (0%),1.40 (0%),
현대자동차,18.02 (1%),4.85 (1%),,8.90 (2%),22.18 (1%),9.01 (1%),8.60 (1%),3.75 (1%),9.11 (1%),
현대차,21.10 (1%),4.92 (1%),,13.95 (3%),28.14 (2%),18.29 (2%),12.36 (1%),5.33 (1%),15.65 (1%),
화웨이,9.01 (1%),3.24 (1%),,,11.09 (1%),9.76 (1%),12.90 (1%),1.50 (0%),7.01 (1%),
