org,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,,,6.02 (2%),,6.23 (2%),,,8.28 (2%),8.14 (2%),6.34 (2%),5.27 (2%),,5.92 (2%),10.36 (4%)
BOE,,,,16.66 (8%),,23.28 (7%),12.22 (5%),25.58 (7%),13.31 (4%),12.68 (3%),,20.58 (9%),21.45 (6%),
CES,,,,,,1.45 (0%),,0.75 (0%),,1.41 (0%),,0.82 (0%),0.74 (0%),
CSOT,,2.86 (1%),,,,9.46 (3%),2.62 (1%),4.51 (1%),3.70 (1%),2.82 (1%),,4.94 (2%),8.14 (2%),
ETRI,,,1.50 (0%),,0.78 (0%),,,,,1.41 (0%),,0.82 (0%),,
IoT,,3.58 (1%),7.52 (2%),,6.23 (2%),,,,6.66 (2%),8.45 (2%),6.02 (3%),,5.18 (1%),5.18 (2%)
JDI,,,2.26 (1%),3.17 (1%),1.56 (1%),3.64 (1%),,3.01 (1%),,2.11 (1%),,3.29 (1%),3.70 (1%),
LG디스플레이,,,,24.59 (11%),,56.74 (18%),24.44 (9%),49.65 (14%),23.67 (7%),25.35 (7%),,41.16 (17%),42.90 (12%),
LG전자,,42.22 (15%),28.59 (9%),,,,,24.83 (7%),28.85 (8%),24.65 (7%),32.35 (14%),,27.37 (8%),28.11 (10%)
LG화학,,3.58 (1%),3.76 (1%),,,,3.49 (1%),7.52 (2%),5.18 (1%),4.93 (1%),4.51 (2%),,,4.44 (2%)
SID,,,,,,1.45 (0%),,0.75 (0%),,1.41 (0%),,0.82 (0%),0.74 (0%),
SK하이닉스,,10.02 (4%),27.08 (9%),,14.02 (5%),,,,15.53 (4%),28.87 (8%),11.29 (5%),,13.31 (4%),12.57 (4%)
Semiconductor,,0.72 (0%),1.50 (0%),,0.78 (0%),,,,2.22 (1%),1.41 (0%),0.75 (0%),,0.74 (0%),0.74 (0%)
TCL,,9.30 (3%),,,,6.55 (2%),3.49 (1%),3.01 (1%),4.44 (1%),,3.76 (2%),2.47 (1%),8.14 (2%),
TSMC,,,2.26 (1%),0.79 (0%),1.56 (1%),0.73 (0%),,0.75 (0%),4.44 (1%),,2.26 (1%),,,2.96 (1%)
V2X,,,6.02 (2%),1.59 (1%),3.90 (1%),,2.62 (1%),,2.22 (1%),6.34 (2%),,,2.22 (1%),2.96 (1%)
구글,,,9.03 (3%),,10.13 (4%),,,10.53 (3%),14.05 (4%),14.79 (4%),9.78 (4%),,12.57 (3%),13.31 (5%)
기아,7.27 (4%),,11.29 (4%),5.55 (3%),,,,,7.40 (2%),13.38 (4%),6.77 (3%),,5.92 (2%),9.62 (3%)
네이버,,2.86 (1%),6.77 (2%),,3.90 (1%),,,3.01 (1%),5.18 (1%),7.75 (2%),4.51 (2%),,3.70 (1%),
두산로보틱스,,2.15 (1%),2.26 (1%),,2.34 (1%),2.18 (1%),2.62 (1%),6.02 (2%),2.96 (1%),,,,,2.22 (1%)
디지타임스,,,,3.17 (1%),,,2.62 (1%),6.77 (2%),3.70 (1%),2.82 (1%),,3.29 (1%),4.44 (1%),2.22 (1%)
마이크로소프트,,,7.52 (2%),2.38 (1%),5.45 (2%),,,3.76 (1%),13.31 (4%),3.52 (1%),4.51 (2%),,,7.40 (3%)
메타,,2.15 (1%),3.01 (1%),,3.90 (1%),,,3.01 (1%),8.88 (2%),,4.51 (2%),,2.96 (1%),3.70 (1%)
미디어텍,,,6.02 (2%),1.59 (1%),3.90 (1%),,2.62 (1%),,2.22 (1%),6.34 (2%),,,2.22 (1%),2.96 (1%)
삼성디스플레이,,,,14.28 (7%),,24.01 (8%),16.59 (6%),29.34 (8%),11.83 (3%),18.31 (5%),,27.99 (12%),24.41 (7%),
삼성전자,,47.23 (17%),51.91 (17%),,47.52 (17%),47.28 (15%),54.12 (20%),,46.60 (13%),46.48 (13%),,,51.04 (14%),
샤오미,1.62 (1%),5.72 (2%),2.26 (1%),,1.56 (1%),,2.62 (1%),,2.96 (1%),,3.76 (2%),,2.96 (1%),
샤프,,3.58 (1%),,2.38 (1%),,10.18 (3%),2.62 (1%),4.51 (1%),3.70 (1%),,,4.12 (2%),5.92 (2%),
선익시스템,,0.72 (0%),,,,0.73 (0%),,0.75 (0%),0.74 (0%),3.52 (1%),0.75 (0%),0.82 (0%),2.22 (1%),
소니,,5.72 (2%),3.76 (1%),,,3.64 (1%),3.49 (1%),,3.70 (1%),,3.01 (1%),,3.70 (1%),4.44 (2%)
아이씨디,,,1.50 (0%),1.59 (1%),,3.64 (1%),,3.01 (1%),2.96 (1%),8.45 (2%),,3.29 (1%),5.92 (2%),
알파벳,,,4.51 (1%),1.59 (1%),3.90 (1%),1.45 (0%),,3.01 (1%),9.62 (3%),,3.76 (2%),,,5.18 (2%)
애플,,,,,42.85 (16%),37.10 (12%),44.52 (16%),65.45 (19%),48.08 (13%),,,36.22 (15%),39.20 (11%),36.98 (13%)
엔비디아,,,8.28 (3%),,7.01 (3%),,,4.51 (1%),14.79 (4%),4.23 (1%),6.02 (3%),,2.96 (1%),9.62 (3%)
원익IPS,,,2.26 (1%),1.59 (1%),1.56 (1%),3.64 (1%),,2.26 (1%),,8.45 (2%),,2.47 (1%),5.18 (1%),
카카오,1.62 (1%),,6.02 (2%),,2.34 (1%),,1.75 (1%),,2.96 (1%),7.04 (2%),3.01 (1%),,2.22 (1%),
퀄컴,,3.58 (1%),6.77 (2%),3.17 (1%),5.45 (2%),,7.86 (3%),,,6.34 (2%),,,3.70 (1%),4.44 (2%)
하이센스,,9.30 (3%),,,,6.55 (2%),3.49 (1%),3.01 (1%),4.44 (1%),,3.76 (2%),2.47 (1%),8.14 (2%),
하이얼,1.62 (1%),5.72 (2%),2.26 (1%),,1.56 (1%),,2.62 (1%),,2.96 (1%),,3.76 (2%),,2.96 (1%),
한미반도체,,,8.28 (3%),3.17 (1%),5.45 (2%),3.64 (1%),,,2.96 (1%),11.27 (3%),,,5.18 (1%),2.96 (1%)
한화,0.81 (0%),1.43 (1%),,2.38 (1%),,,,,,,,,,0.74 (0%)
한화시스템,1.62 (1%),,6.02 (2%),,2.34 (1%),,1.75 (1%),,2.96 (1%),7.04 (2%),3.01 (1%),,2.22 (1%),
현대모비스,,5.72 (2%),12.79 (4%),,,,6.98 (3%),7.52 (2%),8.14 (2%),13.38 (4%),6.02 (3%),,,7.40 (3%)
현대자동차,3.23 (2%),3.58 (1%),4.51 (1%),2.38 (1%),3.12 (1%),,,,2.96 (1%),,3.01 (1%),,,2.22 (1%)
현대차,8.08 (5%),7.16 (3%),15.80 (5%),,,,,,9.62 (3%),16.20 (4%),9.78 (4%),,7.40 (2%),8.14 (3%)
화웨이,0.81 (0%),0.72 (0%),,,,,3.49 (1%),0.75 (0%),,0.70 (0%),,,,0.74 (0%)
