date,semantic_key,topic_id,avg_sentiment,article_count
2026-02-27,TV_Display_Topic,0,0.4694,496
2026-02-27,Automotive_Display_Topic,1,0.4703,504
2026-02-27,Gaming_Monitor_Topic,2,0.4686,278
2026-02-28,Panel_Manufacturer,0,0.5102,284
2026-02-28,Smartphone_Display_Topic,1,0.5106,348
2026-03-01,Equipment_Maker,0,0.4858,272
2026-03-01,Transparent_Display_Topic,1,0.4847,255
2026-03-01,Smartphone_Display_Topic,2,0.4848,270
2026-03-01,Apple_Display_Topic,3,0.4851,279
2026-03-01,Display_Materials_Topic,4,0.4839,257
2026-03-01,Material_Supplier,5,0.4842,254
2026-03-01,Flexible_Display_Topic,6,0.4852,318
2026-03-01,Automotive_Display_Topic,7,0.4851,302
2026-03-02,IT_OLED_Topic,0,0.514,304
2026-03-02,Panel_Manufacturer,1,0.5134,300
2026-03-02,Flexible_Display_Topic,2,0.5135,319
2026-03-03,Automotive_Display_Topic,0,0.4617,388
2026-03-03,Smartphone_Display_Topic,1,0.4611,348
2026-03-03,Apple_Display_Topic,2,0.4613,434
2026-03-03,Display_Materials_Topic,3,0.4612,449
2026-03-03,Flexible_Display_Topic,4,0.4615,416
2026-03-03,Set_Manufacturer,5,0.4612,422
2026-03-04,Panel_Manufacturer,0,0.5452,481
2026-03-04,Smartphone_Display_Topic,1,0.546,382
2026-03-04,MicroLED_Topic,2,0.5444,441
2026-03-04,Apple_Display_Topic,3,0.5451,494
2026-03-04,Set_Manufacturer,4,0.5446,464
2026-03-04,Quantum_Dot_Topic,5,0.5465,388
2026-03-04,Foldable_Display_Topic,6,0.5454,458
2026-03-04,Flexible_Display_Topic,7,0.5451,504
2026-03-04,Automotive_Display_Topic,8,0.5468,329
2026-03-05,TV_Display_Topic,0,0.4708,366
2026-03-05,Quantum_Dot_Topic,1,0.4706,467
2026-03-06,TV_Display_Topic,0,0.5266,382
2026-03-06,Foldable_Display_Topic,1,0.5263,457
2026-03-07,Automotive_Display_Topic,0,0.4828,384
2026-03-07,Display_Materials_Topic,1,0.4827,321
2026-03-07,Flexible_Display_Topic,2,0.4827,373
2026-03-07,Apple_Display_Topic,3,0.4825,355
2026-03-07,Set_Manufacturer,4,0.4824,368
2026-03-08,Set_Manufacturer,0,0.5531,291
2026-03-08,MicroLED_Topic,1,0.5535,287
2026-03-08,TV_Display_Topic,2,0.5522,315
2026-03-08,Automotive_Display_Topic,3,0.5531,320
2026-03-08,Foldable_Display_Topic,4,0.5536,293
2026-03-09,Panel_Manufacturer,0,0.507,211
2026-03-09,Set_Manufacturer,1,0.5059,382
2026-03-09,Foldable_Display_Topic,2,0.5055,487
2026-03-10,Apple_Display_Topic,0,0.4988,533
2026-03-10,Panel_Manufacturer,1,0.4991,331
2026-03-10,Gaming_Monitor_Topic,2,0.4997,386
2026-03-10,OLED_Topic,3,0.4991,540
2026-03-10,TV_Display_Topic,4,0.4996,502
2026-03-10,Foldable_Display_Topic,5,0.499,503
2026-03-10,Set_Manufacturer,6,0.4991,514
2026-03-10,Automotive_Display_Topic,7,0.4992,478
2026-03-10,Smartphone_Display_Topic,8,0.4992,462
2026-03-10,Flexible_Display_Topic,9,0.4989,390
2026-03-10,IT_OLED_Topic,10,0.4987,491
2026-03-11,Automotive_Display_Topic,0,0.5734,492
2026-03-11,Panel_Manufacturer,1,0.5765,322
2026-03-11,Platform_Company,2,0.5749,395
2026-03-11,IT_OLED_Topic,3,0.5748,458
2026-03-11,Flexible_Display_Topic,4,0.5734,484
2026-03-11,Apple_Display_Topic,5,0.5741,428
2026-03-11,XR_Device_Topic,6,0.5747,439
2026-03-11,Set_Manufacturer,7,0.576,391
2026-03-11,Gaming_Monitor_Topic,8,0.5754,447
2026-03-11,Display_Materials_Topic,9,0.5744,445
2026-03-12,Set_Manufacturer,0,0.5337,487
2026-03-12,Automotive_Display_Topic,1,0.5334,464
2026-03-12,XR_Device_Topic,2,0.5334,449
2026-03-12,Panel_Manufacturer,3,0.534,298
2026-03-12,Apple_Display_Topic,4,0.5344,345
